# from appendix Ganzeboom
SIOPS	ISEI	EGP	ISCO88
51	55	1	1000
67	70	1	1100
64	77	1	1110
71	77	1	1120
63	66	2	1130
63	58	2	1140
63	58	2	1141
63	58	2	1142
63	58	2	1143
60	68	1	1200
70	70	1	1210
63	67	1	1220
60	67	11	1221
60	67	1	1222
60	67	1	1223
60	59	1	1224
60	59	1	1225
60	59	1	1226
60	87	1	1227
60	59	1	1228
60	67	1	1229
60	61	1	1230
60	69	1	1231
60	69	1	1232
60	56	1	1233
60	69	1	1234
60	69	1	1235
60	69	1	1236
60	69	1	1237
60	69	1	1239
55	58	2	1240
65	64	1	1250
73	70	1	1251
63	60	2	1252
50	51	2	1300
50	51	2	1310
47	43	11	1311
52	56	2	1312
52	51	2	1313
46	49	2	1314
38	44	2	1315
52	51	2	1316
52	51	2	1317
52	51	2	1318
52	51	2	1319
62	70	1	2000
63	69	1	2100
69	74	1	2110
75	74	1	2111
72	74	1	2112
69	74	1	2113
67	74	1	2114
56	71	1	2120
69	71	1	2121
55	71	1	2122
51	71	1	2130
51	71	1	2131
51	71	2	2132
51	71	2	2139
63	73	1	2140
72	69	1	2141
70	69	1	2142
65	68	1	2143
65	68	1	2144
66	67	1	2145
66	71	1	2146
61	67	1	2147
58	56	2	2148
56	69	1	2149
70	80	1	2200
62	78	1	2210
69	77	1	2211
68	77	1	2212
56	79	1	2213
73	85	1	2220
78	88	1	2221
70	85	1	2222
61	83	1	2223
64	74	1	2224
73	85	1	2229
54	43	2	2230
61	69	2	2300
78	77	1	2310
60	69	2	2320
60	70	2	2321
57	66	2	2322
57	66	2	2330
57	66	2	2331
49	43	2	2332
62	66	2	2340
62	66	1	2350
68	70	1	2351
68	70	1	2352
62	65	2	2359
60	68	1	2400
57	69	2	2410
62	69	1	2411
56	69	2	2412
57	69	2	2419
73	85	1	2420
73	85	1	2421
76	90	1	2422
71	82	1	2429
54	65	2	2430
54	65	2	2431
54	65	2	2432
58	65	1	2440
60	78	1	2441
67	71	1	2442
67	71	1	2443
62	65	2	2444
67	71	1	2445
52	51	2	2446
57	61	2	2450
58	65	2	2451
57	54	2	2452
45	64	2	2453
40	64	2	2454
57	64	2	2455
60	53	2	2460
48	54	2	3000
48	50	2	3100
47	49	2	3110
46	45	2	3111
39	45	2	3112
46	46	2	3113
46	46	2	3114
46	54	2	3115
46	54	2	3116
53	54	2	3117
55	51	2	3118
46	53	2	3119
53	52	2	3120
53	52	2	3121
53	52	2	3122
53	52	2	3123
46	52	2	3130
46	48	2	3131
49	57	2	3132
58	57	2	3133
44	52	2	3139
57	57	2	3140
60	52	2	3141
55	52	2	3142
60	69	1	3143
50	69	1	3144
46	50	2	3145
54	50	2	3150
54	50	2	3151
54	50	2	3152
51	48	2	3200
52	50	2	3210
52	50	2	3211
47	50	2	3212
55	50	2	3213
51	55	2	3220
53	51	2	3221
48	51	2	3222
52	51	2	3223
60	60	2	3224
44	51	2	3225
51	60	2	3226
48	51	2	3227
44	51	2	3228
45	51	2	3229
44	38	3	3230
44	38	3	3231
44	38	3	3232
29	49	2	3240
29	51	2	3241
22	38	2	3242
50	38	3	3300
50	38	3	3310
50	38	3	3320
50	38	3	3330
50	38	3	3340
48	55	2	3400
47	55	2	3410
50	61	2	3411
44	54	2	3412
49	59	2	3413
43	56	2	3414
46	56	2	3415
49	50	2	3416
46	56	2	3417
46	55	2	3419
42	55	2	3420
55	55	2	3421
50	55	2	3422
49	55	2	3423
42	55	2	3429
49	54	3	3430
53	54	2	3431
49	59	2	3432
49	51	3	3433
51	61	2	3434
53	54	3	3439
52	56	2	3440
44	56	2	3441
52	57	2	3442
55	56	2	3443
54	46	2	3444
55	56	2	3449
45	56	2	3450
60	55	2	3451
44	56	7	3452
49	43	3	3460
45	52	2	3470
49	53	2	3471
50	64	2	3472
32	50	2	3473
33	50	2	3474
49	54	2	3475
50	38	3	3480
37	45	3	4000
37	45	3	4100
45	51	3	4110
42	51	3	4111
42	50	3	4112
45	50	3	4113
45	51	3	4114
53	53	3	4115
44	51	3	4120
45	51	3	4121
36	51	3	4122
32	36	4	4130
30	32	4	4131
44	43	4	4132
37	45	4	4133
37	39	4	4140
36	39	4	4141
33	39	9	4142
41	39	4	4143
37	39	4	4144
37	39	4	4190
39	49	4	4200
37	48	4	4210
34	53	4	4211
42	46	4	4212
34	40	4	4213
15	40	4	4214
27	40	4	4215
38	52	4	4220
38	52	4	4221
38	52	4	4222
38	52	4	4223
32	40	4	5000
32	38	4	5100
32	34	4	5110
50	34	4	5111
32	34	4	5112
29	34	4	5113
26	32	4	5120
37	30	2	5121
31	30	8	5122
21	34	9	5123
27	25	9	5130
23	25	4	5131
42	25	9	5132
17	25	4	5133
29	25	9	5139
29	30	8	5140
32	29	8	5141
17	19	9	5142
34	54	8	5143
29	19	9	5149
37	43	2	5150
37	43	2	5151
37	43	2	5152
37	47	9	5160
35	42	8	5161
40	50	8	5162
39	40	9	5163
39	40	8	5164
30	40	9	5169
31	43	4	5200
28	43	4	5210
32	43	4	5220
24	37	4	5230
37	23	10	6000
38	23	10	6100
40	23	10	6110
40	23	10	6111
40	23	10	6112
40	23	10	6113
40	23	10	6114
40	23	10	6120
40	23	10	6121
40	23	10	6122
40	23	10	6123
40	23	10	6124
40	23	10	6129
38	23	10	6130
40	23	11	6131
41	27	11	6132
40	28	11	6133
30	23	10	6134
24	22	10	6140
24	22	10	6141
16	22	10	6142
28	28	10	6150
23	28	10	6151
23	28	10	6152
28	28	10	6153
6	28	10	6154
38	16	11	6200
38	16	11	6210
38	34	8	7000
34	31	9	7100
34	30	9	7110
34	30	9	7111
36	30	9	7112
34	27	9	7113
34	30	8	7120
36	29	9	7121
34	29	9	7122
34	26	9	7123
37	29	8	7124
28	30	8	7129
37	34	8	7130
31	19	9	7131
31	30	8	7132
31	31	8	7133
28	34	8	7134
26	26	9	7135
34	33	8	7136
44	37	8	7137
31	29	8	7140
31	29	8	7141
29	32	9	7142
20	29	9	7143
40	34	8	7200
38	31	8	7210
38	29	8	7211
39	30	8	7212
34	33	8	7213
44	30	8	7214
32	30	8	7215
26	30	8	7216
37	35	8	7220
35	33	8	7221
40	40	8	7222
38	34	8	7223
27	24	8	7224
43	34	8	7230
43	34	8	7231
50	42	8	7232
42	33	8	7233
20	23	9	7234
38	40	8	7240
38	40	8	7241
48	39	8	7242
42	41	8	7243
35	40	8	7244
36	38	8	7245
39	34	8	7300
45	38	8	7310
47	38	8	7311
33	38	8	7312
43	38	8	7313
28	28	9	7320
25	27	9	7321
37	29	9	7322
31	29	8	7323
31	29	8	7324
31	29	9	7330
31	29	9	7331
31	29	9	7332
42	40	8	7340
42	40	8	7341
41	40	8	7342
41	42	8	7343
42	40	8	7344
32	37	8	7345
52	38	8	7346
33	33	8	7400
28	30	8	7410
24	30	8	7411
33	31	8	7412
34	30	8	7413
35	30	8	7414
34	30	8	7415
34	30	8	7416
29	33	8	7420
29	33	9	7421
40	33	8	7422
36	33	8	7423
21	33	9	7424
34	36	8	7430
29	29	9	7431
32	29	9	7432
40	45	8	7433
35	36	8	7434
40	36	8	7435
26	33	8	7436
31	28	8	7437
27	31	8	7440
22	31	8	7441
27	31	8	7442
48	42	8	7500
46	42	7	7510
46	38	8	7520
37	26	9	7530
34	31	9	8000
36	30	9	8100
31	35	9	8110
34	35	9	8111
32	35	9	8112
31	35	9	8113
40	30	9	8120
45	31	9	8121
36	30	9	8122
38	28	9	8123
28	30	9	8124
31	22	9	8130
31	22	9	8131
31	22	9	8139
28	27	9	8140
29	27	9	8141
28	27	9	8142
28	27	9	8143
42	35	8	8150
43	35	8	8151
43	35	8	8152
43	35	8	8153
43	35	8	8154
37	35	8	8155
43	35	8	8159
38	32	8	8160
42	33	8	8161
35	27	8	8162
34	33	8	8163
30	26	8	8170
30	26	8	8171
30	26	8	8172
34	32	9	8200
37	36	9	8210
38	36	9	8211
30	30	9	8212
43	30	9	8220
43	30	9	8221
43	30	9	8222
28	30	9	8223
43	30	9	8224
43	30	9	8229
30	30	9	8230
30	30	9	8231
30	30	9	8232
31	29	9	8240
41	38	9	8250
41	38	9	8251
32	38	9	8252
28	38	9	8253
28	30	9	8260
29	29	9	8261
29	29	9	8262
25	32	9	8263
25	24	9	8264
26	32	9	8265
28	32	9	8266
26	32	9	8269
33	29	9	8270
31	29	9	8271
34	29	9	8272
33	29	9	8273
33	29	9	8274
35	29	9	8275
45	29	9	8276
34	29	9	8277
34	29	9	8278
39	29	9	8279
33	31	9	8280
30	30	9	8281
48	34	9	8282
48	34	9	8283
30	30	9	8284
31	30	9	8285
28	30	9	8286
33	26	9	8290
33	32	9	8300
36	36	9	8310
43	41	8	8311
29	32	9	8312
32	34	9	8320
31	30	9	8321
31	30	9	8322
32	30	9	8323
33	34	9	8324
32	26	9	8330
31	26	10	8331
32	26	8	8332
33	28	8	8333
28	28	9	8334
29	32	9	8340
33	24	9	8400
21	20	9	9000
23	25	3	9100
25	29	3	9110
24	29	3	9111
24	28	3	9112
26	29	3	9113
12	28	9	9120
21	16	9	9130
22	16	9	9131
21	16	9	9132
22	16	9	9133
23	23	9	9140
25	23	9	9141
19	23	9	9142
20	27	9	9150
22	25	9	9151
20	27	9	9152
21	27	9	9153
13	23	9	9160
13	23	9	9161
13	23	9	9162
23	16	9	9200
23	16	10	9210
23	16	10	9211
18	16	10	9212
23	16	10	9213
18	23	9	9300
16	21	9	9310
18	21	9	9311
15	21	9	9312
15	21	9	9313
19	20	9	9320
18	20	9	9321
22	24	9	9322
20	29	9	9330
17	22	9	9331
22	22	9	9332
20	30	9	9333
